epoch;avg;max;min;size
0;117.5;155;-50;6
1;93.57142857142857;155;-50;7
2;127.22222222222223;155;-50;9
3;109.5;155;-50;10
4;109.7;155;-50;10
5;109.8;156;-50;10
6;109.8;156;-50;10
7;110.0;156;-50;10
8;110.0;156;-50;10
9;110.1;156;-50;10
10;111.2;159;-50;10
11;111.2;159;-50;10
12;111.4;159;-50;10
13;111.4;159;-50;10
14;111.4;159;-50;10
15;111.5;159;-50;10
16;111.5;159;-50;10
17;111.5;159;-50;10
18;112.5;159;-50;10
19;112.5;159;-50;10
20;112.5;159;-50;10
21;112.5;159;-50;10
22;115.45454545454545;159;-50;11
23;115.45454545454545;159;-50;11
24;115.45454545454545;159;-50;11
25;115.45454545454545;159;-50;11
26;115.81818181818181;159;-50;11
27;133.72727272727272;159;-50;11
28;133.72727272727272;159;-50;11
29;152.27272727272728;159;144;11
30;152.27272727272728;159;144;11
31;153.0;159;144;11
32;137.23076923076923;159;-50;13
33;152.84615384615384;159;144;13
34;152.84615384615384;159;144;13
35;152.84615384615384;159;144;13
36;153.07692307692307;159;146;13
37;153.07692307692307;159;146;13
38;153.15384615384616;159;146;13
39;152.85714285714286;159;146;14
40;153.14285714285714;159;146;14
41;153.21428571428572;159;146;14
42;153.64285714285714;159;146;14
43;153.64285714285714;159;146;14
44;153.71428571428572;159;146;14
45;153.78571428571428;159;146;14
46;154.07142857142858;159;146;14
47;154.07142857142858;159;146;14
48;154.14285714285714;159;146;14
49;154.35714285714286;159;146;14
50;154.35714285714286;159;146;14
51;154.35714285714286;159;146;14
52;154.35714285714286;159;146;14
53;154.35714285714286;159;146;14
54;154.57142857142858;159;146;14
55;155.14285714285714;159;151;14
56;155.64285714285714;159;152;14
57;155.64285714285714;159;152;14
58;155.78571428571428;161;152;14
59;156.07142857142858;161;152;14
60;156.07142857142858;161;152;14
61;156.14285714285714;161;152;14
62;156.14285714285714;161;152;14
63;142.8;161;-50;15
64;142.86666666666667;161;-50;15
65;142.86666666666667;161;-50;15
66;142.86666666666667;161;-50;15
67;142.86666666666667;161;-50;15
68;143.2;162;-50;15
69;143.2;162;-50;15
70;143.2;162;-50;15
71;143.4;162;-50;15
72;143.4;162;-50;15
73;143.4;162;-50;15
74;143.4;162;-50;15
75;143.4;162;-50;15
76;143.4;162;-50;15
77;143.4;162;-50;15
78;143.73333333333332;162;-50;15
79;143.73333333333332;162;-50;15
80;143.8;162;-50;15
81;143.93333333333334;162;-50;15
82;144.0;162;-50;15
83;144.13333333333333;163;-50;15
84;144.13333333333333;163;-50;15
85;144.13333333333333;163;-50;15
86;144.13333333333333;163;-50;15
87;144.13333333333333;163;-50;15
88;145.0;163;-50;16
89;145.0;163;-50;16
90;145.0;163;-50;16
91;145.0;163;-50;16
92;145.0;163;-50;16
93;145.0;163;-50;16
94;145.0;163;-50;16
95;145.0;163;-50;16
96;157.5625;163;147;16
97;157.8125;163;151;16
98;157.9375;163;151;16
99;157.9375;163;151;16
100;158.0;163;151;16
101;158.0;163;151;16
102;158.05882352941177;163;151;17
103;158.23529411764707;163;151;17
104;158.35294117647058;165;151;17
105;158.35294117647058;165;151;17
106;158.52941176470588;165;151;17
107;158.52941176470588;165;151;17
108;158.52941176470588;165;151;17
109;158.52941176470588;165;151;17
110;158.52941176470588;165;151;17
111;158.58823529411765;165;151;17
112;158.58823529411765;165;151;17
113;158.64705882352942;165;151;17
114;158.64705882352942;165;151;17
115;158.64705882352942;165;151;17
116;158.64705882352942;165;151;17
117;158.76470588235293;165;152;17
118;158.76470588235293;165;152;17
119;158.72222222222223;165;152;18
120;158.94444444444446;165;152;18
121;158.94444444444446;165;152;18
122;159.0;165;152;18
123;159.0;165;152;18
124;159.0;165;152;18
125;159.05555555555554;165;152;18
126;159.16666666666666;165;152;18
127;159.55555555555554;167;152;18
128;159.66666666666666;167;152;18
129;159.66666666666666;167;152;18
130;159.66666666666666;167;152;18
131;159.66666666666666;167;152;18
132;159.66666666666666;167;152;18
133;159.66666666666666;167;152;18
134;159.66666666666666;167;152;18
135;159.66666666666666;167;152;18
136;159.47368421052633;167;152;19
137;159.47368421052633;167;152;19
138;159.47368421052633;167;152;19
139;159.47368421052633;167;152;19
140;159.47368421052633;167;152;19
141;159.52631578947367;167;152;19
142;159.57894736842104;167;152;19
143;159.57894736842104;167;152;19
144;159.6315789473684;167;152;19
145;159.6315789473684;167;152;19
146;159.6315789473684;167;152;19
147;159.6315789473684;167;152;19
148;159.8421052631579;167;152;19
149;159.8421052631579;167;152;19
150;159.8421052631579;167;152;19
151;159.89473684210526;167;152;19
152;159.89473684210526;167;152;19
153;159.89473684210526;167;152;19
154;160.0;167;152;19
155;160.05263157894737;167;152;19
156;160.05263157894737;167;152;19
157;160.05263157894737;167;152;19
158;160.05263157894737;167;152;19
159;160.05263157894737;167;152;19
160;160.05263157894737;167;152;19
161;160.05263157894737;167;152;19
162;160.05263157894737;167;152;19
163;160.10526315789474;167;152;19
164;160.31578947368422;167;152;19
165;160.31578947368422;167;152;19
166;160.31578947368422;167;152;19
167;160.3684210526316;167;152;19
168;160.3684210526316;167;152;19
169;160.3684210526316;167;152;19
170;160.3684210526316;167;152;19
171;160.3684210526316;167;152;19
172;160.5;167;155;20
173;160.6;167;155;20
174;160.6;167;155;20
175;160.6;167;155;20
176;160.6;167;155;20
177;160.65;167;155;20
178;160.65;167;155;20
179;160.8;167;155;20
